experiment_id,date,model_file,history_file,duration_seconds,actual_epochs,best_valid_acc,final_test_accuracy,test_margin_error,final_train_loss,args
20251211_183019,2025-12-11 18:36:03,outputs\models\gcn_arxiv_20251211_183019.pth,outputs\logs\history_20251211_183019.json,343.75,563,0.7326420349676164,0.7230006378207107,0.003978627294865918,0.7335602641105652,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': False, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_183603,2025-12-11 18:38:27,outputs\models\gcn_arxiv_20251211_183603.pth,outputs\logs\history_20251211_183603.json,143.86,233,0.7062653109164737,0.6962327428348044,0.004088577503730157,1.026289939880371,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': False, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_183827,2025-12-11 18:43:53,outputs\models\gcn_arxiv_20251211_183827.pth,outputs\logs\history_20251211_183827.json,325.97,328,0.7338165710258734,0.7220336193239101,0.003982899783473211,0.6516796946525574,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_184353,2025-12-11 18:47:55,outputs\models\gcn_arxiv_20251211_184353.pth,outputs\logs\history_20251211_184353.json,242.26,245,0.7245880734252828,0.7125280332489764,0.004023678393287168,0.819499135017395,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_184755,2025-12-11 18:52:24,outputs\models\gcn_arxiv_20251211_184755.pth,outputs\logs\history_20251211_184755.json,268.49,523,0.7338501291989664,0.7156142624940848,0.004010679265268289,0.7125920057296753,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_185224,2025-12-11 18:55:06,outputs\models\gcn_arxiv_20251211_185224.pth,outputs\logs\history_20251211_185224.json,162.12,314,0.7240175844827008,0.7102442236075962,0.004033150602949663,0.7675542235374451,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_185506,2025-12-11 18:59:25,outputs\models\gcn_arxiv_20251211_185506.pth,outputs\logs\history_20251211_185506.json,259.18,499,0.7273734017920065,0.7170339279468345,0.004004622369485957,0.8510929942131042,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_185925,2025-12-11 19:01:56,outputs\models\gcn_arxiv_20251211_185925.pth,outputs\logs\history_20251211_185925.json,150.5,283,0.7159971811134602,0.7121782606011975,0.004025137179437012,0.9568876624107361,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_190156,2025-12-11 19:07:54,outputs\models\gcn_arxiv_20251211_190156.pth,outputs\logs\history_20251211_190156.json,358.02,461,0.7346219671801067,0.7191325638335082,0.003995578848540427,0.7219985723495483,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_190754,2025-12-11 19:11:37,outputs\models\gcn_arxiv_20251211_190754.pth,outputs\logs\history_20251211_190754.json,223.78,279,0.7301587301587301,0.7221159187704462,0.003982537068406178,0.8272003531455994,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_191137,2025-12-11 19:13:13,outputs\models\gcn_arxiv_20251211_191137.pth,outputs\logs\history_20251211_191137.json,95.85,186,0.7245880734252828,0.7163549575129107,0.004007525247300678,0.8383191227912903,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_191313,2025-12-11 19:14:37,outputs\models\gcn_arxiv_20251211_191313.pth,outputs\logs\history_20251211_191313.json,83.85,164,0.7042853787039833,0.697199761331605,0.004084898355377451,0.8499811887741089,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_191437,2025-12-11 19:20:40,outputs\models\gcn_arxiv_20251211_191437.pth,outputs\logs\history_20251211_191437.json,363.24,714,0.732440685929058,0.7145855194123819,0.004015037818286693,0.8082131147384644,"{'num_layers': 4, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
